binomial,ESP_LAT,ESP_CAS,Family,Order,Type,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Range.Size,Ref1,hab_breadth,Ref3,adult_length_cm,female_maturity_d,clutch_size_n,clutches_per_y,maximum_longevity_y,egg_mass_g,incubation_d,fledging_age_d,longevity_y,birth_or_hatching_weight_g,brood_value,Ref4,annual_survival,Ref5,PopulationDensity_ind_km2,Ref6,brain_size_g,relative_brain_size,Ref7,eye_axial_length,eye_tranverse_diameter,activity,Ref8,Nest_type,Foraging,Degree_of_development,Development_continuum,Gregariousness,Mating_system,Ref9
Melanocorypha calandra,Melanocorypha calandra,Calandria comun,Alaudidae,Passeriformes,Aves Esteparias Estrictas,18.7,13,5.4,8.2,27.1,124,46.3,77.3,37.2,61.6,61.6,Grassland,3,2,Omnivore,Omnivore,Terrestrial,5323937.62,Tobias_et_al_2022,4,Cooke_et_al_2019,18.5,365,4.35,2,11.34,4.09,16,20.5,11.34,NA,,"https://seo.org/ave/calandria-comun/ (adult length), Bird et al 2020 (female maturity_using age at first breeding, longevity based on imputed values_also assigned to max long.), Myhrvold_et_al_2015; De Juana and Suárez_2020",0.63,Bird et al 2020,41.0,Santini_et_al_2023,1.36,,Sayol et al. Unpublished,NA,NA,diurnal,Wilman et al_2014,ExposedGround,GroundForaging,Altricial,-1.254,seasonal,monogamous,Carlos Martín (personal comm.); Tobias and Pigot_2019 (nest_type)
Oenanthe hispanica,Oenanthe hispanica,Collalba rubia,Muscicapidae,Passeriformes,Aves Esteparias No Estrictas,14.4,9.8,3.9,3.6,23.3,89.7,23.2,64.6,26.4,61,18.2,Shrubland,2,3,Carnivore,Invertivore,Insessorial,3529344.19,"Tobias_et_al_2022, Traba et al. in prep",4,Cooke_et_al_2019,14,365,5,1,4.9,2.45,14,12.6,4.9,NA,,"https://seo.org/ave/collalba-rubia-occidental/ (adult length, incubation, and fledging age), Bird et al 2020 (female maturity_using age at first breeding, longevity_copied the same to max long.), Myhrvold_et_al_2015; Suárez, F (1987) Historia Natural de la Collalba Rubia durante la época de reproducción. PhD Thesis, Universidad Complutense de Madrid.",0.47, Bird et al 2020,28.0,Santini_et_al_2023,NA,,,NA,NA,diurnal,Wilman et al_2014,Cavity,ForagingGeneralist,Altricial,-1.469,no,monogamous,Snow and Perrins 1998;  Tobias and Pigot_2019 (nest_type)
Oenanthe leucura,Oenanthe leucura,Collalba negra,Muscicapidae,Passeriformes,Aves Esteparias No Estrictas,22.3,12.1,4.1,4.4,27.1,96.9,20.9,76.0,21.5,66.6,41.0,Rock,3,2,Carnivore,Invertivore,Insessorial,1288299.84,Tobias_et_al_2022,4,Cooke_et_al_2019,18,365,4,3,9.83,4.23,14.5,15,5,NA,,"https://sierradebaza.org/fichas-tecnicas/fichas-de-fauna/fichas-aves/aves-c-e/collalba-negra-oenanthe-leucura (longevity), Bird_et al_2020 (max_longevity)",0.65, Bird et al 2020,24.0,Moreno_2016,NA,,,NA,NA,diurnal,Wilman et al_2014,Cavity,AerialSallying,Altricial,-1.472,no,monogamous,"Collar_2000, Moreno_2016;  Tobias and Pigot_2019 (nest_type)"
Oenanthe oenanthe,Oenanthe oenanthe,Collalba gris,Muscicapidae,Passeriformes,Aves Esteparias No Estrictas,17.5,10.4,4.5,3.9,27.2,96.2,30.5,64.6,32.1,56.1,24.3,Shrubland,2,3,Carnivore,Invertivore,Insessorial,29248291.46,"Tobias_et_al_2022, Traba et al. in prep",11,Cooke_et_al_2019,15,365,5.33,1,10.08333333,2.75,13,14.5,9.6,2.8,,"https://seo.org/ave/collalba-gris/ (adult length), Myhrvold_et_al_2015; Suárez, F (1987) Historia Natural de la Collalba Rubia durante la época de reproducción. PhD Thesis, Universidad Complutense de Madrid.",0.52,Paquet et al_2020,14.1,Santini_et_al_2023,0.81,,Sayol et al. Unpublished,7.2,9.7,diurnal,Liu_et_al_2023 (eye size),Cavity,AerialSallying,Altricial,-1.472,seasonal,monogamous,"Lislevand et al 2007 (mating system), Snow and Perrins 1998;  Tobias and Pigot_2019 (nest_type)"
Otis tarda,Otis tarda,Avutarda euroasiatica,Otididae,Otidiformes,Aves Esteparias Estrictas,62.3,32,15.6,18.5,137.8,550.8,228.5,307.8,42.7,218.3,6759.9,Grassland,3,2,Omnivore,Omnivore,Terrestrial,4521984.02,Tobias_et_al_2022,3,Cooke_et_al_2019,90,650,2.5,1,28.3,144.5,24.5,33.75,28.3,88.5,-1.48,"https://seo.org/ave/avutarda-comun/ (adult length), Myhrvold_et_al_2015, Martin_et_al_2008 (age first repro)",0.91,Martín et al_2007,1.4,Santini_et_al_2023,10.8,,Sayol et al. Unpublished; Mlikovsky_1989b,27,31.25,diurnal,Liu_et_al_2023 (eye size),ExposedGround,GroundForaging,Precocial,1.438,seasonal,polyginic,Carlos Martín (personal comm.); Tobias and Pigot_2019 (nest_type)
Pluvialis apricaria,Pluvialis apricaria,Chorlito dorado,Charadriidae,Charadriiformes,Aves Esteparias No Estrictas,25.0,14.8,3.7,4.9,38.0,181.2,104.2,77.2,57.4,70.2,214.0,Grassland,3,3,Carnivore,Invertivore,Terrestrial,3294836.99,Tobias_et_al_2022,7,Cooke_et_al_2019,27.5,365.25,4,1,12.8,33,30.7,29,12.75,24.5,,Myhrvold_et_al_2015; Wiersma et al. 2020b (length),0.65,Gudmundsson_1997,1.2,Santini_et_al_2023,2.3,,Sayol et al. Unpublished; Mlikovsky_1989b,15.4,,diurnal,Liu_et_al_2023 (eye size); Wilman_et_al_2014 (activity),ExposedGround,GroundForaging,Precocial,2.302,seasonal,monogamous,Wiersma et al. 2020b 
Pterocles alchata,Pterocles alchata,Ganga iberica,Pteroclidae,Pterocliformes,Aves Esteparias Estrictas,17.9,10.1,6.9,9,27.6,194,120.2,75.2,61.5,142,275.8,Grassland,3,2,Herbivore,Granivore,Terrestrial,3142814.68,Tobias_et_al_2022,4,Cooke_et_al_2019,35,363.468,3,2,17.3,24.5,22.5,25,17.3,16.5,,"https://seo.org/ave/ganga-iberica/ (adult length), Bird et al 2020 (longevity based on imputed values_also assigned to max long.), Myhrvold_et_al_2015",0.60,Benitez-Lopez et al_2015,1.3,Sanz-Pérez et al. en prep,1.45,,Sayol et al. Unpublished,NA,NA,diurnal,Wilman et al_2014,ExposedGround,GroundForaging,Precocial,2.312,seasonal,monogamous,Ana Benítez (personal comm.); Tobias and Pigot_2019 (nest_type)
Pterocles orientalis,Pterocles orientalis,Ganga ortega,Pteroclidae,Pterocliformes,Aves Esteparias Estrictas,19.7,9.9,5.7,7,25.7,228.2,145.5,83,63.7,90.2,404.9,Grassland,3,2,Herbivore,Granivore,Terrestrial,5783511.92,Tobias_et_al_2022,5,Cooke_et_al_2019,35,363.468,2.76,2,18.76,27.5,25.5,25,18.76,18.5,,"https://seo.org/ave/ganga-ortega/ (adult length), Bird et al 2020 (longevity based on imputed values_also assigned to max long.), Myhrvold_et_al_2015",0.75,Bird et al 2020,1.3,"Mougeot F, Fernández-Tizón M, Tarjuelo R, Benítez-López A, Jiménez J (2024). Population decline of the Black-bellied Sandgrouse Pterocles orientalis in continental Spain, a main western Palearctic stronghold. Bird Conservation International, 34, e11, 1–10 https://doi.org/10.1017/S0959270924000066",2.4,,Sayol et al. Unpublished,NA,NA,diurnal,Wilman et al_2014,ExposedGround,GroundForaging,Precocial,2.333,seasonal,monogamous,Ana Benítez (personal comm.); Tobias and Pigot_2019 (nest_type)
Saxicola dacotiae,Saxicola dacotiae,Tarabilla canaria,Muscicapidae,Passeriformes,Aves Esteparias No Estrictas,15.7,9.2,3.6,3.3,22.0,60.8,10.5,50.5,17.1,46.0,12.2,Shrubland,2,1,Carnivore,Invertivore,Insessorial,1260.31,Tobias_et_al_2022,5,Cooke_et_al_2019,13,365,4,2,6.84,1.88,14,17,4,NA,,"https://seo.org/ave/tarabilla-canaria/ (adul length); Bird et al 2020 (longevity based on imputed values_also assigned to max long.), Myhrvold_et_al_2015; Collar_2020b, Illera y Seoane_2016",0.55,Bird et al 2020,3.7,Santini_et_al_2023,NA,,,NA,NA,diurnal,Wilman et al_2014,ExposedGround,AerialSallying,Altricial,-1.317,no,monogamous,Collar_2020b; Illera y Seoane_2016; Tobias and Pigot_2019 (nest_type)
Sylvia conspicillata,Sylvia conspicillata,Curruca tomillera,Sylviidae,Passeriformes,Aves Esteparias No Estrictas,11.7,6,2.4,2.4,17.9,55.4,10.8,44.8,19.4,51.1,9,Shrubland,2,3,Carnivore,Invertivore,Insessorial,1315716.19,Tobias_et_al_2022,3,Cooke_et_al_2019,12.5,365,5,2,8.43,1.37,12.5,11.5,8.43,NA,,"https://seo.org/ave/curruca-tomillera/ (adult length, incubation, fledging age), Bird et al 2020 (female maturity_using age at first breeding, longevity based on imputed values_also assigned to max long.), Myhrvold_et_al_2015",0.46,Bird et al 2020,3.6,Santini_et_al_2023,NA,,Sayol et al. Unpublished,NA,NA,diurnal,Wilman et al_2014,ExposedElevated,ArborealGleaning,Altricial,-2.162,no,monogamous,Snow and Perrins 1998; Tobias and Pigot_2019 (nest_type)
