"binomial","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Niche","Primary.Lifestyle","Range.Size","hab_breadth","adult_length_cm","female_maturity_d","clutch_size_n","clutches_per_y","maximum_longevity_y","egg_mass_g","incubation_d","fledging_age_d","birth_or_hatching_weight_g","annual_survival","PopulationDensity_ind_km2","eye_axial_length","eye_tranverse_diameter","Nest_type","Foraging","Development_continuum","Gregariousness","relative_brain"
"Pterocles orientalis",-0.29143910946327,-0.588290119337389,-0.193100087757853,-0.149344355069122,-0.486114812586199,0.497301223468958,1.13839303146461,1.8294044438966,-0.0984886505349415,0.0434785437432343,"Grassland","3","2","Granivore","Terrestrial",-0.426811937763473,-0.465018140008188,0.506536211319026,-0.418326589913039,-0.817009016453916,0.94651979676017,1.16174231411075,0.389606948779617,0.904750724295595,0.246997075698948,0.384485822270138,0.861731517247376,-0.70602864062952,0.595138038663614,0.789950589788161,"ExposedGround","GroundForaging",1.60343451028888,"seasonal",-1.04242158981959
"Tetrax tetrax",-0.20854024692959,0.216899250230476,0.583811947566966,0.454965227700435,1.22383925995375,0.647919068062966,0.363129742036584,0.174178624898317,0.0898820860612488,0.467858390685608,"Grassland","3","3","Herbivore terrestrial","Terrestrial",-0.501709602886559,-1.17115679705766,0.990262562190456,-0.595852226364647,-0.54548890704024,-0.923703264803391,1.02249946985869,0.771175967398093,0.236643825626244,0.507999140226186,0.828744913183135,0.364811795627933,-0.464203292826516,0.460621487275522,0.85513410629494,"ExposedGround","GroundForaging",1.05993127858053,"seasonal",1.32267276366728
"Alauda arvensis",-0.590260590689323,-0.57039702223588,-0.674045633435121,-0.784007387201533,-0.55750287553605,-0.587478488054169,-0.648792867322105,-0.34624171993957,-0.52377721452208,-0.304422956223659,"Shrubland","2","2","Invertivore","Terrestrial",1.67292567659963,2.35953648818969,-0.557661760598121,-0.412345036401913,-0.453172069839589,0.94651979676017,-0.424893253287635,-0.580381661708403,-1.17380407156461,-0.770910975957282,-0.567937321094879,0.861731517247376,1.36460089993371,-0.90430825721896,-0.704653197263008,"ExposedGround","GroundForaging",-0.442445252421085,"seasonal",-0.294846582933755
"Alectoris rufa",0.0652187874839552,-0.0872834004951616,0.509820325155078,0.319754407811356,0.168975647424194,-0.173440430220915,-0.586771804167863,-0.910030426847283,-0.0924704161388971,0.15875840499304,"Shrubland","3","1","Herbivore terrestrial","Terrestrial",-0.927996408292655,-0.465018140008188,0.377542517753311,-0.418326589913039,4.20068260551082,0.0112251262553087,-1.13026818798553,0.0923847658557521,0.607814324886995,-1.31901531146448,0.0427480600293711,-1.48089002753,0.858279077971165,0.353894641962263,-0.177988641592842,"ExposedGround","GroundForaging",1.60343451028888,"seasonal",-1.94186866363886
"Anthus berthelotii",-0.811966850953814,-0.892472770063027,-1.26597861273022,-1.22551210520669,-0.662485321050536,-0.938030710352992,-0.965426716056921,-1.11241611650646,-0.700312090139383,-0.32110573289233,"Rock","2","1","Invertivore","Terrestrial",-1.0261003149166,-0.818087468532923,-0.847897571120979,-0.412345036401913,-0.388007243580307,0.94651979676017,-1.19439318204897,-0.6233583827528,-0.951101772008157,-1.05801324693724,-0.656413227739014,-0.558039115951033,1.02453400458573,-0.976777102802036,-0.891636670011103,"ExposedGround","GroundForaging",-0.925829132242138,"no",-1.10788112492849
"Anthus campestris",-0.272160304222879,-0.319893662814767,-0.711041444641065,-0.839195476952178,-0.477716216945041,-0.74941337289562,-0.810374058171315,-0.714872797533075,-0.47362526122171,-0.311639662984825,"Shrubland","2","3","Invertivore","Terrestrial",0.132829938816815,1.30032850261549,-0.654407030772407,-0.412345036401913,-0.0350311013425281,-0.923703264803391,-0.978200344920788,-0.60528406081824,-0.876867672156007,-0.901412008220902,-0.719327149767539,-0.487050584291113,-0.517102587658423,-0.876957756268873,-0.777526016282568,"ExposedGround","GroundForaging",-0.925829132242138,"no",-2.00611747786366
"Asio flammeus",0.441155489671571,0.0916475705199195,1.02776168203829,1.50629833745021,0.219367221271148,1.13215957881328,1.06494703562406,0.658458668011352,1.03093333778939,-0.0336558674832616,"Grassland","3","3","Vertivore","Aerial",3.11072267583581,0.594189845566017,0.603281481493312,-0.415335813157476,0.942441292546706,-0.456147499412501,1.71871369111895,0.140582957681244,0.882480494339951,0.299197488604395,0.193112675415309,-1.1259473692304,-0.426418082232296,1.358995606074,0.490454012463729,"ExposedGround","AerialScreening",-0.518960791186729,"seasonal",1.75601289952507
"Athene noctua",-0.378193733045027,-0.284107468611751,0.583811947566966,1.06479361944506,-0.196363262966217,-0.157798992480547,-0.42029421359595,-0.476346806149043,-0.41946115165731,-0.177708832313303,"Human Modified","3","1","Omnivore","Insessorial",1.74805566755476,0.947259174090752,-0.396419643640977,-0.415335813157476,-0.143639145107999,-0.923703264803391,0.579731653095622,-0.0883584534898419,1.2016871237042,1.03000326928066,-0.0939470448669357,0.293823263968013,-0.43397512435114,1.2392123902342,-1.75536654131017,"Cavity","AerialSallying",-0.747900141302982,"no",1.53213234396929
"Bucanetes githagineus",-1.10114892955967,-0.999831352672075,0.102866401889697,0.347348452686678,-0.885048105541247,-0.848782506775601,-0.769570727148788,-0.259504995799923,-0.842743637512434,-0.317637964708392,"Desert","3","2","Granivore","Terrestrial",-0.290577558106615,-1.52422612558239,-0.864021782816693,-0.412345036401913,0.372249062777986,0.94651979676017,-0.624596806228078,-0.630186459928078,-1.04018269183074,-0.990152710160163,-0.481375145919293,-0.841993242590715,0.0723466976114004,-1.17641579586836,-1.11985797746817,"ExposedGround","GroundForaging",-0.671991868718017,"seasonal",0.531732663339196
"Eudromias morinellus",-0.378193733045027,-0.355679857017783,-1.00700793428861,-0.894383566702822,-0.0703843283488339,-0.246127111484975,0.0987241570106038,1.26561573698889,-0.57794132408648,-0.23459897522276,"Grassland","3","3","Invertivore","Terrestrial",-0.629479918562673,-0.818087468532923,-0.315798585162405,1.00080088500983,-0.686679363935351,0.0114082659783894,-0.107932568345464,-0.0321272296934349,0.978984824147746,0.507999140226186,-0.0734427791324896,0.577777390607694,-0.449089208588828,0.193724518515147,0.0184045712165625,"ExposedGround","GroundForaging",1.60343451028888,"no",0.109989065692194
"Circus cyaneus",0.711058763037038,0.503188803854606,1.2867323604799,1.50629833745021,1.46235937616266,1.64004626308874,1.35709888574536,0.456072978352174,0.734033774251203,0.0323254514759767,"Shrubland","3","3","Vertivore","Aerial",0.771499581481851,0.594189845566017,1.47398891306189,0.444282143977316,0.127880964305678,-0.923703264803391,0.857606627981264,0.530185008270635,1.72132582266925,1.42150636607152,0.610032745349044,1.06049940589515,-0.721142724867208,1.25917625954083,1.177259704028,"ExposedGround","AerialScreening",0.0731237349759941,"seasonal",1.01968877292086
"Circus macrourus",0.653222347315867,0.324257832839525,1.2867323604799,1.42351620282424,1.29018816551891,1.62900524821319,1.78308566162055,1.01263362491492,2.63780192153325,0.0242652335349333,"Grassland","3","3","Vertivore","Aerial",-0.386883913545299,0.241120517041282,1.1515046791476,1.00080088500983,0.127880964305678,-0.923703264803391,0.198035260471545,0.409689528706906,1.4986235231128,1.81300946286238,0.530066108984706,0.577777390607694,-0.796713146055647,1.20417579960106,1.24551543044285,"ExposedGround","AerialScreening",-0.164924607850454,"seasonal",1.13764817839398
"Circus pygargus",0.325482658229228,0.0558613763169034,0.879778437214516,1.00960552969441,1.03823029628414,1.73113463581206,1.83204965884758,0.983721383535032,2.60169251515699,-0.0447152362860885,"Grassland","3","3","Vertivore","Aerial",-0.317476758006961,0.241120517041282,0.990262562190456,1.36156430725167,-0.00787909040116054,-0.923703264803391,0.711035212979104,0.2490288892886,1.46150647318672,1.55200739833514,0.261460227863462,0.329317529797973,-0.524659629777267,1.17882168558164,0.717850212116916,"ExposedGround","AerialScreening",-0.0216097892100416,"seasonal",1.29416763924672
"Cisticola juncidis",-1.02403370859811,-1.14297612948414,-1.45095766875994,-1.3634823295833,-0.822058638232555,-1.15241041585332,-1.12700790690613,-1.79908184927867,-1.09952163841033,-0.329634568155527,"Grassland","3","3","Invertivore","Generalist",0.937296543306675,1.65339783114022,-1.10588495825241,-0.412345036401913,-0.306551210756204,1.88163132754195,-0.981864630295842,-0.673364006771747,-1.39650637112106,-0.797011182410006,-0.510405768821646,-0.487050584291113,3.3445459350708,-0.892409791112207,-0.80642234490367,"Cavity","GroundForaging",-1.40921301206319,"no",1.60434215665374
"Coracias garrulus",1.68463842767676,2.45353638791899,1.32372817168584,1.47870429257489,-0.570100768997788,0.153189593180875,-0.0514321011522985,-0.0643473664857145,0.551480664237855,-0.199171505667942,"Woodland","2","3","Invertivore","Insessorial",-0.0370641379518913,0.947259174090752,0.248548824187597,-0.418326589913039,-0.00787909040116054,-0.923703264803391,-0.589786095165065,-0.0963914854607571,-0.208760773486656,0.403598314415291,-0.196468373539166,-0.558039115951033,0.178145287275215,0.151181513022714,0.398691491380798,"Cavity","AerialSallying",-1.31508675405784,"no",0.231325117601258
"Coturnix coturnix",-0.686654616891275,-0.981938255570567,-0.26709171016974,-0.646037162824922,-0.536506386433153,-0.625201955545644,-0.531279273977225,0.188634745588259,-1.13964320105063,-0.245752067490018,"Human Modified","3","3","Granivore","Terrestrial",1.18157363358847,-0.818087468532923,-0.654407030772407,-0.415335813157476,3.28016321084377,-0.456147499412501,0.396517384342922,-0.385580636413707,-0.320111923264882,-1.21461448565359,-0.504032359555856,-2.40374093910897,-0.615344135203394,-0.777138409735709,-0.663415362554032,"ExposedGround","GroundForaging",1.60343451028888,"all-year round",-2.02078793417503
"Emberiza calandra",-0.628818201170104,-0.641969410641913,-0.0821126541400214,0.181784183434745,-0.540705684253732,-0.708009567112294,-0.81690259113492,-0.859434004432488,-0.493686042541858,-0.29055188348791,"Grassland","3","2","Omnivore","Terrestrial",-0.250359335173626,-1.17115679705766,-0.622158607380978,-0.415335813157476,0.127880964305678,0.94651979676017,-0.336339690667877,-0.55788917218984,-1.02533587186031,-1.05801324693724,-0.311446043645072,-0.345073520971272,-0.70602864062952,-0.650767117024726,-0.525165916690614,"ExposedGround","GroundForaging",-0.659239278923743,"seasonal",-0.238918311473715
"Falco columbarius",-0.590260590689323,-0.248321274408734,0.657803569978853,0.816447215567156,-0.124975200016367,0.2341570356016,0.376186807963793,0.759651512840942,0.431115976316967,-0.159339033284879,"Woodland","3","3","Vertivore","Aerial",1.70486580579734,0.594189845566017,0.0550582838390245,0.291237147548396,0.127880964305678,-0.923703264803391,0.656070932353294,0.158657279615803,1.57285762296495,0.769001204753425,0.00857428380529444,-0.0611193943315901,-0.736256809104896,0.725042936241874,0.356839214690209,"ExposedElevated","AerialScreening",-0.353784390041846,"no",0.757971440992452
"Falco naumanni",-0.281799706843074,-0.0336041091906371,1.21274073806801,0.954417439943767,-0.309744304121863,0.507422153771549,0.777691585225466,1.12105453008947,0.748076321175307,-0.193454374337667,"Grassland","3","3","Invertivore","Generalist",-0.0348706694628667,0.947259174090752,0.0873067072304531,0.291237147548396,-0.0350311013425281,-0.923703264803391,-0.275268266528882,-0.0722923895480113,1.23880417363027,0.455798727320739,-0.0243350626984913,0.435800327287853,-0.653129345797613,-0.0584391146969297,0.28479150347453,"Cavity","AerialSallying",-0.227473024460465,"seasonal",0.810305702281206
"Galerida theklae",-0.561342382828737,-0.409359148322307,-0.600054011023234,-0.590849073074277,-0.536506386433153,-0.696968552236741,-0.86097018863925,-1.09073193547155,-0.728397183987591,-0.300205400324275,"Shrubland","2","1","Omnivore","Terrestrial",-0.791358261224303,0.241120517041282,-0.654407030772407,-0.412345036401913,-0.105626329790084,0.94651979676017,-0.604443236665281,-0.586004784088044,-1.09956997171246,-1.21461448565359,-0.55578854364722,0.222834732308092,-0.501988503420735,-0.858151791382027,-0.798803264331644,"ExposedGround","GroundForaging",-0.442445252421085,"seasonal",-0.622216655323614
